499 Total larvae in entire dataset
211 Starved larvae in entire dataset
288 Fed larvae in entire dataset
---
NAIVE_100UL_LEFT_MILLIQ_WATER
55 Total larvae
16 Starved larvae
39 Fed larvae
---
NAIVE_100UL_LEFT_FOOD_05PERCENT
89 Total larvae
32 Starved larvae
57 Fed larvae
---
NAIVE_100UL_LEFT_QUININE_10MM
43 Total larvae
19 Starved larvae
24 Fed larvae
---
NAIVE_100UL_LEFT_INDOLE_100UM
56 Total larvae
20 Starved larvae
36 Fed larvae
---
NAIVE_100UL_LEFT_O-CRESOL_100UM
61 Total larvae
25 Starved larvae
36 Fed larvae
---
NAIVE_100UL_LEFT_INDOLE_10MM
36 Total larvae
19 Starved larvae
17 Fed larvae
---
NAIVE_100UL_LEFT_YEASTRNA_1GL
38 Total larvae
18 Starved larvae
20 Fed larvae
---
NAIVE_100UL_LEFT_FOOD_EXTRACT
38 Total larvae
19 Starved larvae
19 Fed larvae
---
NAIVE_100UL_LEFT_GLUCOSE_10GL
37 Total larvae
20 Starved larvae
17 Fed larvae
---
NAIVE_100UL_LEFT_AMINO_ACIDS
46 Total larvae
23 Starved larvae
23 Fed larvae
---
